car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,1.2904305410827672,103.86468212164546
ACM,BLK 98A ALJUNIED CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N,1.3215730972753876,103.88449581937945
AH1,BLK 101 JALAN DUSUN,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2808702660543847,103.89172679256443
AK19,BLOCK 253 ANG MO KIO STREET 21,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2711716636534673,103.93227118489006
AK31,BLK 302/348 ANG MO KIO STREET 31,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.2828976929463929,103.92932001777548
AK52,BLK 513 ANG MO KIO STREET 53,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2865810716220767,103.93559768972848
AK6,BLK 728 ANG MO KIO AVENUE 6,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2811040294028198,103.93797928859053
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.300217596739161,103.93981065915224
AK9,ANG MO KIO AVENUE 9,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.2846404943221421,103.94668612512046
AM14,BLK 227 ANG MO KIO STREET 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,1.276522207060846,103.93192353354614
AM16,BLK 256A ANG MO KIO STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.2719097775167618,103.93352168454699
AM18,BLK 308C ANG MO KIO AVENUE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N,1.2808684736050278,103.92874326024341
AM19,BLK 260 ANG MO KIO STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,1.2707149190164686,103.93206747087834
AM20,BLK 309B ANG MO KIO STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2823471801555686,103.9279064691821
AM22,BLK 316B ANG MO KIO STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2839217148341215,103.92779779939855
AM32,BLK 255A ANG MO KIO STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.27055965231476,103.93370317667681
AM43,BLK 455 ANG MO KIO STREET 44,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.2936342827974348,103.93179476285442
AM46,BLK 588 ANG MO KIO STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N,1.2897017581264782,103.9353392044552
AM51,BLK 700 ANG MO KIO AVENUE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2829608170986173,103.93309015048126
AM64,BLK 590 ANG MO KIO STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2894017326996523,103.93462253239431
