,SEARCHVAL,LATITUDE,LONGITUDE
175,UPPER THOMSON MRT STATION EXIT 1,1.35478972020463,103.831721073185
176,BRIGHT HILL MRT STATION EXIT 1,1.36384676605097,103.833899206658
177,CALDECOTT MRT STATION EXIT 1,1.33711485525531,103.839401106536
178,HAVELOCK MRT STATION EXIT 1,1.28672525299039,103.833837440803
179,GARDENS BY THE BAY MRT STATION EXIT 1,1.28055489064088,103.868785539995
180,WOODLANDS SOUTH MRT STATION EXIT 1,1.42748811362716,103.792729941333
181,NAPIER MRT STATION EXIT 1,1.3069411697217,103.819465904198
182,MAYFLOWER MRT STATION EXIT 1,1.37302055474101,103.836827838274
183,SHENTON WAY MRT STATION EXIT 1,1.27745392803543,103.851822269502
184,ORCHARD MRT STATION EXIT 1,1.30489469167997,103.83252493317
185,OUTRAM PARK MRT STATION EXIT 1,1.28145580017529,103.838811764424
186,SPRINGLEAF MRT STATION EXIT 1,1.39910633971842,103.81787186989
187,STEVENS MRT STATION EXIT 1,1.31998302889772,103.825738247034
188,WOODLANDS MRT STATION EXIT 1,1.43659643136072,103.78584424633
189,WOODLANDS NORTH MRT STATION EXIT 1,1.44778217342648,103.7851355073
190,ORCHARD BOULEVARD MRT STATION EXIT 1,1.30362307278619,103.82365038919
191,MARINA BAY MRT STATION EXIT 1,1.27745012760049,103.854259831252
192,MAXWELL MRT STATION EXIT 1,1.28103737035779,103.844156803988
193,GREAT WORLD MRT STATION EXIT 1,1.2933164567796,103.833906630914
194,LENTOR MRT STATION EXIT 1,1.38551074569147,103.835425872422
195,ORCHARD MRT STATION EXIT 10,1.30404820525886,103.831123987458
196,ORCHARD MRT STATION EXIT 11,1.30419976512829,103.830518564259
197,ORCHARD MRT STATION EXIT 12,1.3028569350093,103.830657104903
198,ORCHARD MRT STATION EXIT 13,1.30229335633798,103.832126575413
199,UPPER THOMSON MRT STATION EXIT 2,1.35568650990792,103.831782395097
200,CALDECOTT MRT STATION EXIT 2,1.33824512889805,103.840479738468
201,GREAT WORLD MRT STATION EXIT 2,1.29286656367858,103.832605562977
202,GARDENS BY THE BAY MRT STATION EXIT 2,1.27880733457734,103.867894202902
203,ORCHARD BOULEVARD MRT STATION EXIT 2,1.30246882387243,103.823898210692
204,ORCHARD MRT STATION EXIT 2,1.30435439891928,103.832619611937
205,OUTRAM PARK MRT STATION EXIT 2,1.28167534584159,103.838934837349
206,WOODLANDS MRT STATION EXIT 2,1.4367527906259,103.786393694452
207,NAPIER MRT STATION EXIT 2,1.30635924005631,103.819479220969
208,MARINA BAY MRT STATION EXIT 2,1.2761695778026,103.855098979891
209,MAXWELL MRT STATION EXIT 2,1.28091943828253,103.844892595291
210,ORCHARD MRT STATION EXIT 2,1.30435439891928,103.832619611937
211,OUTRAM PARK MRT STATION EXIT 2,1.28167534584159,103.838934837349
212,SPRINGLEAF MRT STATION EXIT 2,1.39795277738643,103.818344052898
213,WOODLANDS NORTH MRT STATION EXIT 2,1.44905612857319,103.785110659283
214,STEVENS MRT STATION EXIT 2,1.31879756079149,103.826020649127
215,SHENTON WAY MRT STATION EXIT 2,1.27696088700122,103.850884032212
216,WOODLANDS SOUTH MRT STATION EXIT 2,1.42769244394578,103.793108878868
217,BRIGHT HILL MRT STATION EXIT 2,1.36314423622709,103.833512902819
218,HAVELOCK MRT STATION EXIT 2,1.2869836758937,103.833492718787
219,CALDECOTT MRT STATION EXIT 3,1.33788653037764,103.840731286818
220,OUTRAM PARK MRT STATION EXIT 3,1.28037094209663,103.840021210464
